text,sentiment
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
PM Modi s aside at Kashmiri stone pelters When Army rescues people during Kashmir floods the locals clap even if they,
Now kin of BJP leader batter a policeman in MP Happening frequently now in BJP states Will the police take a stand https,
is celebrated every year on April since to ensure support for protection of the environment https,
text,
says government doesn t measure development on yardsticks of vote bank https t co,
PM Narendra Modi urges for clean green planethttps via NMApp,
The Supreme Court will need to quash Shariat Act or Modi Govt will need to bring in a new law for to b,
PM Narendra Modi urges for clean green planethttps via NMApp,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
BJP worker Ma am plse Vote for BJP South delhi Girl Nahi mai toh lotus ko vote dungi it s my fav flower,
Are you denying that the BJP has not controlled the Municipal Corporation of Delhi for the last years,
I vote for a but definitely not Cause pichle saalo se kaam dikh raha hai unka So vote for change vote for,
She is not anchoring promoting BJP PAID news agency,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
on Modi Govt advisory on with htt,
MMS lost elections but kept Indian democracy on winning path Now here is Modi winning elections but molesting democracy,
More than leaving Cong more interesting that all rotten eggs of Cong being inducted by BJP Indeed Cong Yukt BJP,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Yes I live near Azad Mkt MCD destroyed the area Ppl joke that BJP will erect a statue to divert attention from the de,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Some parts of Modi Speech in Channai Conclusion Modi guv made adhar mandatory Modi visited Nawaj breakin,
PM Narendra Modi urges for clean green planethttps via NMApp,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,
Housing for poor registers more growth under Modi Govt than in years of UPA Govtvia NMApp,
Delhi will vote to fix Muncipial Corporations run by BJP for years by voting for BJP And then curse that nothing works,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
Indo Israel ties are more visible under the Modi government says Israeli Ambassador Daniel Carmon PTI,
leaders including stat BJP chief slam China for renaming places in the state,
Tomorrow evening I look forward to interacting with CMs of states governed by the BJP Tweeted yesterday by PM Chan,
Revolutionary decision Will bring long lost govt officials to office in time Each office shu,
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,
Shri Narendra Modi s mask of providing clean governance has now come off,
Sources And BJP s highest leadership begged to Tehseen for joining,
Ajaz Khan Laments PM Modi amp UP CM Yogi on Cow Protection Maintains high level of Silence on Islamic Hooliganism https,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
My statement on story on behalf of attack on Saharanpur SSP house by mob led by MP Ra,
Plz reply soon pm modi sir,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
Or like Punjab tampered one put I Place where bjp losing,
leaders including stat BJP chief slam China for renaming places in the state,
Shri Narendra Modi s mask of providing clean governance has now come off,
Some parts of Modi Speech in Channai Conclusion Modi guv made adhar mandatory Modi visited Nawaj breakin,
Not blaming Modi but the India that s been made in his governance Especially by the bhakts,
So for the first time prominent Muslim leaders and groups hit out at Prime Minister Narendra Modi for lecturing https,
He does not know if pressing AAP candidate button if vote went to BJP or INC or independent Constipated face to dik,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Thats very true Donald J Trump Let modi should take a lesson,
voted for bjp in mcd pole today,
More than leaving Cong more interesting that all rotten eggs of Cong being inducted by BJP Indeed Cong Yukt BJP,
Criminal Saffron gangs are on the prowl all over in BJP States in guise of Gauraksha Dals Romeo squads extorting money b,
leaders including stat BJP chief slam China for renaming places in the state,
MMS lost elections but kept Indian democracy on winning path Now here is Modi winning elections but molesting democracy,
Revealing the secret BJP MCD war room,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
PM Narendra Modi urges for clean green planethttps via NMApp,
SIO President demands apology from BJP leader Tarun Vijay over his rhetoric tweets related to Islamic dress,
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,
please get us our flat from Unitech BJP in central and state amp still no R,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
please get us our flat from Unitech BJP in central and state amp still no RERA in Haryana,
PM Narendra Modi urges for clean green planethttps via NMApp,
Modi Government has lost priorities Overwhelming number of the poor Indians can t get good schools and teachers,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
Appeal every voter in to vote for development,
text,
will oust in,
please get us our flat from Unitech BJP in central and state amp still no R,
please get us our flat from Unitech BJP in central and state amp still no RERA,
leaders including stat BJP chief slam China for renaming places in the state,
Mega defence deals likely during PM Narendra Modi s trip to Israel relations beyond deliverables,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
State Election Commissioner and you are requested to block FB account of who is breaching elect,
minutes silence for those who said is here to change politics Even BJP amp Congress don t do this shit http,
Arvinder Singh Lovely who recently joined BJP returns from by,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
leaders including stat BJP chief slam China for renaming places in the state,
Vinay Rawat Ward I never saw him dont know personally but vote for BJP today,
Swachh Bharat Mission taking rapid strides under Modi Govthttps NMApp,
I Voted for chicken mcspicy Burger in McD elections but vote BJP ko chala gaya Ashutosh,
fr d who deserves a fair chance agnst parties who cldn t perform in yrs including s who won t b in pwr,
leaders including stat BJP chief slam China for renaming places in the state,
leaders including stat BJP chief slam China for renaming places in the state,
Shri Narendra Modi s mask of providing clean governance has now come off,
Shri Narendra Modi s mask of providing clean governance has now come off,
Gandhi and Kejriwal and Mallya are easy targets For you guys anyone who,
MUST WATCH Summary of BJP Campaign in MCD,
Casted my vote in MCD election clear sign of Big BJP wave,
please get us our flat from Unitech save home BJP in central and state amp,
please get us our flat from Unitech save home BJP in central and state amp still no RERA,
In Agra Bajrangis attack Police Station In MP relatives of BJP Leader thrash Cop Blood boils only if me in uniform,
Shri Narendra Modi s mask of providing clean governance has now come off,
Delhi will vote to fix Muncipial Corporations run by BJP for years by voting for BJP And then curse that nothing works,
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,
leaders including stat BJP chief slam China for renaming places in the state,
please get us our flat from Unitech save home BJP in central and state an,
Voting BJP to power will throw lives of children in jeopardy Kejriwalhttps,
please get us our flat from Unitech save home BJP in central and state and still no RERA,
leaders including stat BJP chief slam China for renaming places in the state,
Wishful thinking Though a Modi supporter and voter BJP in MCD has been unproductive in last years s,
Shocked to hear the statement from a senior BJP leader First they say Muslims in UP voted for them then the Minister contra,
Sorry BJP ke MCD this election is neither Test for AAP nor the last nail in coffin But a test for Delhiites whether t,
PM Modi s aside at Kashmiri stone pelters When Army rescues people during Kashmir floods the locals clap even if they,
